Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played,Year,Winrate
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,LEVIATÁN,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,LEVIATÁN,"['viper', 'raze', 'skye', 'gekko', 'harbor']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,LEVIATÁN,"['viper', 'jett', 'cypher', 'kayo', 'sova']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,LEVIATÁN,"['viper', 'sova', 'killjoy', 'harbor', 'reyna']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,LEVIATÁN,"['astra', 'jett', 'raze', 'skye', 'viper']",0,3,3,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,LOUD,"['viper', 'omen', 'kayo', 'breach', 'phoenix']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,LOUD,"['viper', 'kayo', 'breach', 'brimstone', 'phoenix']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,LOUD,"['viper', 'jett', 'sova', 'killjoy', 'harbor']",2,0,2,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,LOUD,"['viper', 'omen', 'skye', 'breach', 'phoenix']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,LOUD,"['viper', 'omen', 'raze', 'skye', 'breach']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,LOUD,"['viper', 'omen', 'sova', 'breach', 'phoenix']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,MIBR,"['viper', 'omen', 'jett', 'cypher', 'skye']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,MIBR,"['brimstone', 'jett', 'raze', 'skye', 'viper']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,MIBR,"['viper', 'jett', 'cypher', 'kayo', 'sova']",2,0,2,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,MIBR,"['viper', 'omen', 'raze', 'skye', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,MIBR,"['viper', 'raze', 'jett', 'skye', 'astra']",2,2,4,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,MIBR,"['viper', 'omen', 'raze', 'cypher', 'skye']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,NRG Esports,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",3,0,3,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,NRG Esports,"['viper', 'jett', 'cypher', 'kayo', 'sova']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,NRG Esports,"['viper', 'omen', 'raze', 'skye', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,NRG Esports,"['viper', 'omen', 'jett', 'cypher', 'skye']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Sentinels,"['jett', 'kayo', 'killjoy', 'omen', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,Sentinels,"['viper', 'raze', 'skye', 'brimstone', 'yoru']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,Sentinels,"['viper', 'jett', 'cypher', 'kayo', 'sova']",0,2,2,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,Sentinels,"['viper', 'jett', 'kayo', 'killjoy', 'gekko']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,Sentinels,"['viper', 'omen', 'raze', 'killjoy', 'fade']",2,0,2,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,Sentinels,"['viper', 'omen', 'raze', 'cypher', 'skye']",5,2,7,2024,0.7142857142857143
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Sentinels,"['omen', 'raze', 'cypher', 'kayo', 'gekko']",3,0,3,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,100 Thieves,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,100 Thieves,"['viper', 'raze', 'gekko', 'fade', 'brimstone']",6,1,7,2024,0.8571428571428571
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,100 Thieves,"['viper', 'sova', 'jett', 'cypher', 'kayo']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,100 Thieves,"['viper', 'killjoy', 'sova', 'gekko', 'jett']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,100 Thieves,"['viper', 'raze', 'gekko', 'fade', 'astra']",3,2,5,2024,0.6
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,100 Thieves,"['raze', 'omen', 'sova', 'gekko', 'cypher']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,Cloud9,"['jett', 'kayo', 'killjoy', 'omen', 'sova']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Cloud9,"['viper', 'raze', 'cypher', 'skye', 'brimstone']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Cloud9,"['viper', 'killjoy', 'sova', 'jett', 'sage']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Cloud9,"['viper', 'raze', 'omen', 'killjoy', 'gekko']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Cloud9,"['viper', 'raze', 'omen', 'cypher', 'skye']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,Cloud9,"['viper', 'raze', 'omen', 'cypher', 'skye']",3,0,3,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,Evil Geniuses,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Evil Geniuses,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,Evil Geniuses,"['viper', 'sova', 'jett', 'yoru', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Evil Geniuses,"['viper', 'killjoy', 'sova', 'jett', 'harbor']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Evil Geniuses,"['viper', 'raze', 'omen', 'cypher', 'fade']",1,4,5,2024,0.2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Evil Geniuses,"['viper', 'raze', 'omen', 'cypher', 'skye']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,Evil Geniuses,"['raze', 'omen', 'cypher', 'fade', 'breach']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,FURIA,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,FURIA,"['viper', 'raze', 'cypher', 'skye', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,FURIA,"['cypher', 'jett', 'sova', 'viper', 'yoru']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,FURIA,"['gekko', 'kayo', 'killjoy', 'omen', 'viper']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,FURIA,"['fade', 'killjoy', 'omen', 'raze', 'viper']",0,3,3,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,FURIA,"['jett', 'omen', 'raze', 'skye', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,G2 Esports,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,G2 Esports,"['brimstone', 'gekko', 'raze', 'skye', 'viper']",2,4,6,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,G2 Esports,"['astra', 'cypher', 'sova', 'viper', 'yoru']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,G2 Esports,"['gekko', 'harbor', 'killjoy', 'sova', 'viper']",5,2,7,2024,0.7142857142857143
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,G2 Esports,"['viper', 'raze', 'omen', 'killjoy', 'fade']",4,1,5,2024,0.8
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,G2 Esports,"['breach', 'fade', 'omen', 'raze', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,G2 Esports,"['raze', 'omen', 'gekko', 'cypher', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,KRÜ Esports,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,KRÜ Esports,"['viper', 'sova', 'jett', 'cypher', 'kayo']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,KRÜ Esports,"['gekko', 'kayo', 'killjoy', 'reyna', 'viper']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,KRÜ Esports,"['viper', 'raze', 'omen', 'killjoy', 'fade']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,KRÜ Esports,"['viper', 'raze', 'omen', 'cypher', 'skye']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,KRÜ Esports,"['raze', 'omen', 'gekko', 'cypher', 'breach']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,LEVIATÁN,"['jett', 'kayo', 'killjoy', 'omen', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,LEVIATÁN,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,LEVIATÁN,"['viper', 'sova', 'jett', 'cypher', 'kayo']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,LEVIATÁN,"['viper', 'killjoy', 'sova', 'jett', 'harbor']",4,2,6,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,LEVIATÁN,"['viper', 'raze', 'omen', 'killjoy', 'fade']",3,2,5,2024,0.6
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,LEVIATÁN,"['breach', 'cypher', 'gekko', 'omen', 'raze']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,LOUD,"['viper', 'omen', 'sova', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,LOUD,"['viper', 'raze', 'kayo', 'brimstone', 'breach']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,LOUD,"['viper', 'sova', 'jett', 'cypher', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,LOUD,"['viper', 'killjoy', 'sova', 'jett', 'harbor']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,LOUD,"['viper', 'raze', 'omen', 'fade', 'deadlock']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,LOUD,"['viper', 'raze', 'omen', 'skye', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,LOUD,"['viper', 'omen', 'sova', 'breach', 'phoenix']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,MIBR,"['brimstone', 'gekko', 'raze', 'skye', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,MIBR,"['viper', 'sova', 'jett', 'cypher', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,MIBR,"['gekko', 'kayo', 'killjoy', 'sage', 'viper']",0,3,3,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,MIBR,"['viper', 'raze', 'omen', 'killjoy', 'skye']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,MIBR,"['viper', 'raze', 'jett', 'skye', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,MIBR,"['viper', 'raze', 'omen', 'cypher', 'skye']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,NRG Esports,"['omen', 'killjoy', 'sova', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,NRG Esports,"['brimstone', 'gekko', 'kayo', 'raze', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,NRG Esports,"['viper', 'sova', 'jett', 'cypher', 'yoru']",3,0,3,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,NRG Esports,"['raze', 'gekko', 'cypher', 'brimstone', 'breach']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,NRG Esports,"['viper', 'raze', 'omen', 'jett', 'skye']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,NRG Esports,"['raze', 'omen', 'gekko', 'cypher', 'kayo']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Sentinels,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Sentinels,"['viper', 'killjoy', 'gekko', 'jett', 'kayo']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Sentinels,"['viper', 'raze', 'omen', 'killjoy', 'fade']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Sentinels,"['viper', 'raze', 'omen', 'cypher', 'skye']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,Sentinels,"['raze', 'omen', 'gekko', 'cypher', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Abyss,100 Thieves,"['omen', 'sova', 'cypher', 'jett', 'gekko']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,100 Thieves,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Bind,100 Thieves,"['viper', 'raze', 'gekko', 'fade', 'brimstone']",0,3,3,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,100 Thieves,"['jett', 'kayo', 'killjoy', 'omen', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,100 Thieves,"['sova', 'killjoy', 'viper', 'jett', 'gekko']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,100 Thieves,"['omen', 'killjoy', 'viper', 'raze', 'fade']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Split,100 Thieves,"['viper', 'raze', 'breach', 'fade', 'astra']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Abyss,Cloud9,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,Cloud9,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,Cloud9,"['breach', 'gekko', 'jett', 'killjoy', 'omen']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,Cloud9,"['sova', 'killjoy', 'viper', 'gekko', 'reyna']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,Cloud9,"['breach', 'gekko', 'killjoy', 'omen', 'raze']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Split,Cloud9,"['omen', 'viper', 'cypher', 'raze', 'skye']",0,2,2,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sunset,Cloud9,"['omen', 'cypher', 'raze', 'skye', 'clove']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,Evil Geniuses,"['omen', 'sova', 'cypher', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Bind,Evil Geniuses,"['omen', 'raze', 'gekko', 'skye', 'brimstone']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,Evil Geniuses,"['clove', 'harbor', 'iso', 'killjoy', 'sova']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,Evil Geniuses,"['breach', 'cypher', 'fade', 'neon', 'omen']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sunset,Evil Geniuses,"['omen', 'cypher', 'breach', 'fade', 'neon']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Bind,FURIA,"['brimstone', 'fade', 'raze', 'skye', 'viper']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,FURIA,"['omen', 'killjoy', 'gekko', 'breach', 'neon']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,FURIA,"['sova', 'killjoy', 'viper', 'jett', 'sage']",3,1,4,2024,0.75
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,FURIA,"['omen', 'cypher', 'breach', 'kayo', 'neon']",0,1,1,2024,0.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sunset,FURIA,"['omen', 'sova', 'cypher', 'jett', 'kayo']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Abyss,G2 Esports,"['sova', 'killjoy', 'viper', 'yoru', 'astra']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,G2 Esports,"['jett', 'kayo', 'killjoy', 'omen', 'sova']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Bind,G2 Esports,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",4,0,4,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,G2 Esports,"['omen', 'sova', 'killjoy', 'jett', 'breach']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,G2 Esports,"['sova', 'killjoy', 'viper', 'gekko', 'harbor']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,G2 Esports,"['omen', 'killjoy', 'viper', 'raze', 'fade']",3,2,5,2024,0.6
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Split,G2 Esports,"['omen', 'viper', 'raze', 'breach', 'fade']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Abyss,KRÜ Esports,"['omen', 'sova', 'cypher', 'jett', 'kayo']",1,1,2,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,KRÜ Esports,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,KRÜ Esports,"['omen', 'sova', 'cypher', 'breach', 'neon']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,KRÜ Esports,"['jett', 'kayo', 'killjoy', 'sova', 'viper']",1,3,4,2024,0.25
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,KRÜ Esports,"['omen', 'killjoy', 'viper', 'raze', 'fade']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Split,KRÜ Esports,"['omen', 'viper', 'cypher', 'raze', 'skye']",2,2,4,2024,0.5
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sunset,KRÜ Esports,"['breach', 'cypher', 'neon', 'omen', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Abyss,LEVIATÁN,"['omen', 'sova', 'cypher', 'jett', 'harbor']",1,0,1,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ascent,LEVIATÁN,"['cypher', 'deadlock', 'jett', 'omen', 'sova']",3,0,3,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Bind,LEVIATÁN,"['viper', 'raze', 'gekko', 'fade', 'brimstone']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Haven,LEVIATÁN,"['omen', 'sova', 'cypher', 'breach', 'neon']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Icebox,LEVIATÁN,"['sova', 'killjoy', 'viper', 'jett', 'harbor']",6,1,7,2024,0.8571428571428571
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Lotus,LEVIATÁN,"['omen', 'cypher', 'breach', 'fade', 'neon']",2,0,2,2024,1.0
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sunset,LEVIATÁN,"['omen', 'sova', 'cypher', 'breach', 'neon']",3,1,4,2024,0.75
