Tournament,Stage,Match Type,Map,Team,Composition,Winrate,Total Maps Played
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Breeze,LEVIATÁN,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Breeze,Sentinels,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Split,LEVIATÁN,"astra,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Split,Sentinels,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Split,G2 Esports,"breach,cypher,omen,raze,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Split,KRÜ Esports,"astra,jett,kayo,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Sunset,G2 Esports,"cypher,omen,raze,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Sunset,KRÜ Esports,"chamber,fade,kayo,omen,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Breeze,FURIA,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Breeze,MIBR,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Split,FURIA,"astra,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Split,MIBR,"astra,jett,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Bind,100 Thieves,"brimstone,fade,gekko,raze,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Bind,Sentinels,"brimstone,raze,skye,viper,yoru",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Lotus,100 Thieves,"chamber,fade,omen,raze,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Lotus,Sentinels,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Split,100 Thieves,"astra,fade,gekko,raze,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Split,Sentinels,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Ascent,FURIA,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Ascent,NRG Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Bind,Cloud9,"brimstone,raze,skye,viper,yoru",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Bind,MIBR,"brimstone,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Breeze,FURIA,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Breeze,NRG Esports,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Lotus,Cloud9,"fade,gekko,killjoy,omen,raze",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Lotus,MIBR,"killjoy,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Split,Cloud9,"astra,killjoy,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Split,MIBR,"astra,jett,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Ascent,LOUD,"breach,kayo,omen,phoenix,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Ascent,Sentinels,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Bind,100 Thieves,"brimstone,fade,gekko,raze,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Bind,LEVIATÁN,"gekko,harbor,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Icebox,100 Thieves,"gekko,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Icebox,LEVIATÁN,"harbor,killjoy,reyna,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,100 Thieves,"astra,fade,gekko,raze,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,LEVIATÁN,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,LOUD,"breach,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,Sentinels,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Ascent,G2 Esports,"cypher,jett,kayo,omen,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Ascent,KRÜ Esports,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Icebox,G2 Esports,"brimstone,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Icebox,KRÜ Esports,"jett,kayo,killjoy,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Sunset,G2 Esports,"cypher,omen,raze,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Sunset,KRÜ Esports,"chamber,fade,kayo,omen,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Ascent,Cloud9,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Ascent,NRG Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Sunset,Cloud9,"omen,raze,skye,viper,yoru",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Sunset,NRG Esports,"cypher,jett,omen,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Ascent,LEVIATÁN,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Ascent,LOUD,"breach,kayo,omen,phoenix,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Bind,LEVIATÁN,"gekko,harbor,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Bind,LOUD,"breach,brimstone,kayo,phoenix,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Split,LEVIATÁN,"astra,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Split,LOUD,"breach,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Icebox,Evil Geniuses,"deadlock,gekko,kayo,killjoy,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Icebox,G2 Esports,"brimstone,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Sunset,Evil Geniuses,"breach,cypher,fade,omen,raze",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Sunset,G2 Esports,"cypher,omen,raze,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Ascent,MIBR,"cypher,jett,omen,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Ascent,Sentinels,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Breeze,G2 Esports,"cypher,harbor,sova,viper,yoru",0.5,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Breeze,MIBR,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Breeze,Sentinels,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Split,G2 Esports,"breach,cypher,omen,raze,viper",1.0,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Split,MIBR,"astra,jett,raze,skye,viper",0.0,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Split,Sentinels,"cypher,omen,raze,skye,viper",0.5,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sunset,G2 Esports,"cypher,omen,raze,sova,viper",0.0,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sunset,MIBR,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sunset,Sentinels,"cypher,gekko,kayo,omen,raze",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Bind,LOUD,"breach,brimstone,kayo,phoenix,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Bind,Sentinels,"brimstone,raze,skye,viper,yoru",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Icebox,LOUD,"harbor,jett,killjoy,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Icebox,Sentinels,"gekko,jett,kayo,killjoy,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Lotus,LOUD,"breach,omen,phoenix,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Lotus,Sentinels,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Split,LOUD,"breach,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Split,Sentinels,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Sunset,LOUD,"breach,omen,phoenix,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Sunset,Sentinels,"cypher,gekko,kayo,omen,raze",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Ascent,Evil Geniuses,"cypher,jett,kayo,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Ascent,LOUD,"breach,kayo,omen,phoenix,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Ascent,NRG Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Ascent,Sentinels,"cypher,jett,kayo,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Icebox,Evil Geniuses,"deadlock,gekko,kayo,killjoy,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Icebox,LOUD,"harbor,jett,killjoy,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Split,NRG Esports,"breach,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Split,Sentinels,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Sunset,Evil Geniuses,"breach,cypher,fade,omen,raze",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Sunset,LOUD,"breach,omen,phoenix,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Sunset,NRG Esports,"cypher,jett,omen,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Sunset,Sentinels,"cypher,gekko,kayo,omen,raze",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,100 Thieves,"jett,kayo,killjoy,omen,sova",1.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,Cloud9,"jett,kayo,killjoy,omen,sova",0.25,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,Evil Geniuses,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,FURIA,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,G2 Esports,"jett,kayo,killjoy,omen,sova",0.75,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,KRÜ Esports,"jett,kayo,killjoy,omen,sova",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,LEVIATÁN,"jett,kayo,killjoy,omen,sova",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,LOUD,"jett,kayo,omen,sova,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Ascent,NRG Esports,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,100 Thieves,"brimstone,fade,gekko,raze,viper",0.8571,7
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Cloud9,"brimstone,cypher,raze,skye,viper",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Evil Geniuses,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,FURIA,"brimstone,cypher,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,G2 Esports,"brimstone,gekko,raze,skye,viper",0.3333,6
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,LEVIATÁN,"brimstone,gekko,raze,skye,viper",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,LOUD,"breach,brimstone,kayo,raze,viper",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,MIBR,"brimstone,kayo,raze,skye,viper",0.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,NRG Esports,"brimstone,gekko,kayo,raze,viper",0.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Bind,Sentinels,"brimstone,gekko,raze,skye,viper",0.5,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,100 Thieves,"cypher,jett,kayo,sova,viper",1.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,Evil Geniuses,"astra,jett,sova,viper,yoru",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,FURIA,"cypher,jett,sova,viper,yoru",0.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,G2 Esports,"astra,cypher,sova,viper,yoru",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,KRÜ Esports,"cypher,jett,kayo,sova,viper",0.75,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,LEVIATÁN,"cypher,jett,kayo,sova,viper",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,LOUD,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,MIBR,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Breeze,NRG Esports,"cypher,jett,sova,viper,yoru",1.0,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,100 Thieves,"gekko,jett,killjoy,sova,viper",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Cloud9,"jett,killjoy,sage,sova,viper",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Evil Geniuses,"harbor,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,FURIA,"gekko,kayo,killjoy,reyna,viper",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,G2 Esports,"gekko,harbor,killjoy,sova,viper",0.7143,7
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,KRÜ Esports,"gekko,kayo,killjoy,reyna,viper",0.25,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,LEVIATÁN,"harbor,jett,killjoy,sova,viper",0.6667,6
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,LOUD,"harbor,jett,killjoy,sova,viper",0.5,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,MIBR,"gekko,jett,kayo,killjoy,viper",0.0,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Icebox,Sentinels,"gekko,jett,kayo,killjoy,viper",0.5,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Cloud9,"gekko,killjoy,omen,raze,viper",0.5,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Evil Geniuses,"cypher,fade,omen,raze,viper",0.2,5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,FURIA,"fade,killjoy,omen,raze,viper",0.0,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,G2 Esports,"fade,killjoy,omen,raze,viper",0.8,5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,KRÜ Esports,"fade,killjoy,omen,raze,viper",0.75,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,LEVIATÁN,"fade,killjoy,omen,raze,viper",0.6,5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,LOUD,"deadlock,fade,omen,raze,viper",0.5,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,MIBR,"killjoy,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,NRG Esports,"breach,brimstone,cypher,gekko,raze",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Lotus,Sentinels,"fade,killjoy,omen,raze,viper",0.5,4
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,100 Thieves,"astra,fade,gekko,raze,viper",0.6,5
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Cloud9,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Evil Geniuses,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,FURIA,"omen,raze,skye,viper,yoru",0.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,G2 Esports,"breach,fade,omen,raze,viper",0.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,KRÜ Esports,"cypher,omen,raze,skye,viper",1.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,LOUD,"breach,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,MIBR,"astra,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,NRG Esports,"jett,omen,raze,skye,viper",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Split,Sentinels,"cypher,omen,raze,skye,viper",1.0,2
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,100 Thieves,"cypher,gekko,omen,raze,sova",0.3333,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,Cloud9,"cypher,omen,raze,skye,viper",1.0,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,Evil Geniuses,"breach,cypher,fade,omen,raze",0.6667,3
Champions Tour 2024: Americas Stage 1,All Stages,All Match Types,Sunset,G2 Esports,"breach,cypher,gekko,omen,raze",0.0,1
